Season,WTeamID,LTeamID,WSeed,LSeed,WRPI,LRPI,WPOM,LPOM,WSAG,LSAG
2003,1421,1411,16,16,186,217,273,268,251,257
2003,1112,1436,1,16,2,144,3,144,2,158
2003,1112,1211,1,9,2,43,3,41,2,39
2003,1112,1323,1,5,2,14,3,22,2,17
2003,1113,1272,10,7,32,26,32,20,32,24
2003,1141,1166,11,6,44,23,50,27,48,18
2003,1143,1301,8,9,33,53,40,48,40,46
2003,1163,1140,5,12,28,19,23,26,23,28
2003,1163,1390,5,4,28,21,23,30,23,29
2003,1181,1161,3,14,12,75,8,87,10,89
2003,1181,1141,3,11,12,44,8,50,10,48
2003,1211,1153,9,8,43,29,41,35,39,42
2003,1228,1443,4,13,18,58,5,52,11,60
2003,1242,1429,2,15,6,79,4,109,4,101
2003,1242,1113,2,10,6,32,4,32,4,32
2003,1242,1181,2,3,6,12,4,8,4,10
2003,1242,1112,2,1,6,2,4,3,4,2
2003,1242,1266,2,3,6,10,4,13,4,14
2003,1266,1221,3,14,10,61,13,80,14,68
2003,1266,1281,3,6,10,17,13,24,14,22
2003,1266,1338,3,2,10,8,13,2,14,3
2003,1266,1246,3,1,10,1,13,1,14,1
2003,1281,1356,6,11,17,34,24,57,22,50
2003,1323,1454,5,12,14,45,22,56,17,44
2003,1323,1228,5,4,14,18,22,5,17,11
2003,1328,1354,1,16,3,178,9,230,8,231
2003,1328,1143,1,8,3,33,9,40,8,40
2003,1328,1139,1,12,3,35,9,51,8,35
2003,1390,1360,4,13,21,82,30,82,29,87
2003,1409,1173,13,4,64,13,53,31,58,26
2003,1458,1451,5,12,25,41,16,60,19,59
2003,1458,1409,5,13,25,64,16,53,19,58
2003,1120,1386,10,7,36,27,45,18,43,20
2003,1120,1448,10,2,36,7,45,12,43,9
2003,1139,1280,12,5,35,24,51,11,35,16
2003,1139,1257,12,4,35,11,51,14,35,6
2003,1196,1358,2,15,15,91,6,134,7,138
2003,1231,1104,7,10,47,38,46,33,41,37
2003,1246,1237,1,16,1,160,1,133,1,162
2003,1246,1428,1,9,1,16,1,37,1,38
2003,1246,1458,1,5,1,25,1,16,1,19
